130,Prawne podstawy ochrony środowiska
131,Wstęp do prawoznawstwa
132,Prawo Pracy (19 wydanie)
133,Władza rodzicielska i opieka nad dzieckiem w prawie prywatnym międzynarodowym
134,Ochrona Środowiska. Zarys Wykładu
135,Prawo prywatne międzynarodowe
136,Prawo gospodarcze Unii Europejskiej
137,Prawo prywatne międzynarodowe. Komentarz.
138,Sztuka negocjacji prawniczych
139,Psychologia społeczna
140,Prawo gospodarcze. Zagadnienia administracyjnoprawne (Wydanie 5)
150,Kodeks postępowania administracyjnego 
151,Kodeks postepowania karnego
152,Kodeks postępowania cywilnego 
153,Kodeks Cywilny
154,Kodeks rodzinny i opiekuńczy 
155,Kodeks Karny
156,Kodeks spółek handlowych 
157,Kodeks karny wykonawczy 
158,Kodeks Pracy
159,Prawo Unii Europejskiej 
160,Prawo wykroczeń 
161,Kodeks karny skarbowy 
162,Konstytucja Rzeczypospolitej Polskiej 
217,Prawo konstytucyjne wraz z orzecznictwem Trybunału Konstytucyjnego
218,Kodeks karny
219,Kodeks wykroczeń
220,Kodeks karny
221,Ustawa o gospodarce nieruchomościami
222,Najem i wynajem lokali komercyjnych
223,Prawo karne
224,Prawo gospodarcze i handlowe
226,Prawo międzynarodowe publiczne
227,Prawo karne LAST MINUTE
228,Prawo rzymskie. Instytucje 
229,Prawo konstytucyjne. Kazusy i ćwiczenia
230,Prawo cywilne. Kazusy z rozwiązaniami 
244,"Prawo karne. Testy, podpowiedzi, rozwiązania."
245,Kryminalistyka. Zarys wykładu
247,Proces karny. Kazusy i ćwiczenia
262,Proces karny Last Minute 
263,"Prawo cywilne last minute- zobowiązania, spadki "
264,"Prawo cywilne last minute, własność i inne prawa rzeczowe"
267,Prawo karne. Pytania. Kazusy. Tablice. Testy
268,Prawo karne. Kazusy z rozwiązaniami
269,Prawo karne
270,Prawo karne w pigułce 
272,Prawo Finansowe w pigułce
273,Prawo pracy
274,Prawo Karne Skarbowe
275,Speakout
277,Prawo rodzinne i opiekuńcze last minute
278,Prawo pracy last minute
280,Postępowanie cywilne last minute
283,"Materiały do nauki prawa karnego. Kazusy, testy, zadania argumentacyjne"
285,Prawo karne wykonawcze
289,Prawo pracy i ubezpieczeń społecznych
290,Prawo pracy. Diagramy
291,Prawo rzymskie (fioletowa)
292,Prawo konstytucyjne. Pytania. Kazusy. Tablice. Testy
293,Logika dla prawników... i nie tylko
294,Wstęp do prawoznawstwa
295,Logika
297,Postępowanie cywilne w diagramach
302,Postępowanie administracyjne i sądowoadministracyjne LAST MINUTE
304,Prawo cywilne - część ogólna
309,Prawo rzeczowe
310,Spadki i prawo rodzinne
315,Zarys Nauki Administracji (wydanie 3)
321,"Zobowiązania - pytania, kazusy, testy, tablice"
326,Logika dla prawników (żółta książka)
331,Repetytoria Becka - Prawo karne 
333,Trener Akadmicki. Prawo Konstytucyjne wyd. I
334,Prawo Karne w pigułce
337,Prawo konstytucyjne. Kazusy z rozwiązaniami 
338,Powszechna historia państwa i prawa- testy
339,Prawo konstytucyjne w pigułce 
342,Zamówienia publiczne. Zbiór przepisów
351,Prawo cywilne w pigułce
353,"Prawo cywilne - Część ogólna i zobowiązania, Kazusy z rozwiązaniami"
358,Prawo spadkowe
359,Polskie prawo konstytucyjne. Zarys wykładu (wydanie 1/2/3/4)
360,Kryminologia - repetytorium
363,Rzymskie prawo prywatne
369,Historia prawa w Polsce na tle porównawczym cz.1 X-XV wiek
370,Powszechna historia prawa w pigułce
373,Prawo konstytucyjne. Kazusy i ćwiczenia.
375,Postępowanie karne. Kazusy z rozwiązaniami
380,Postępowanie karne - repetytorium Becka
381,Prawo własności intelektualnej
382,E Pluribus Unum?
383,Warsztaty prawnicze- Logika praktyczna z elementami argumentacji prawniczej
384,Kazusy. Prawo Karne
385,Postępowanie administracyjne (wyd. 3) 
386,Postępowanie sądowoadministracyjne (wyd. 8) 
391,Logika
392,Prawo gospodarcze publiczne
393,Prawo podatkowe przepisy 2019
394,Prawo finansowe Repetytorium
402,Historia myśli ustrojowej i społecznej 
403,Elementy logiki dla pracownikow
405,Publiczne Prawo Gospodarcze. Zarys wykładu.
409,Prawo rodzinne i rzeczowe - kazusy
416,Łacińska terminologia prawnicza
417,Trener akademicki prawo rzymskie (warsztaty prawnicze w starej oprawie graficznej)
421,Prawo administracyjne (wydanie 6 i wczesniejsze)
425,PRAWO ADMINISTRACYJNE repetytorium
426,Prawo karne (wyd.20)
428,"Prawo rolne, repetytorium. testy"
431,Kodeks cywilny + kodeks rodzinny i opiekuńczy
432,Prawa człowieka. Zarys wykładu
433,Prawo bankowe
434,Organizacje międzynarodowe
